Quadrature Results for zSQ from MSEP
From quad_test.jl:quad2() on 2023-02-14T12:59:42.584
clusterSize,sigma,mu,lambda,sumY,zBP,zSQ
7,0.5,0.0,0.4,5,0.5291363849333173,1.278978780912662
7,0.5,0.0,0.4,6,0.8843410950687164,2.2098709643140166
7,0.5,0.0,0.4,7,1.2431739143226532,3.2714788130764387
7,1.0,0.0,0.4,0,-1.4633784126967013,-2.9520350234939774
7,1.0,0.0,0.4,1,-1.0022108090384552,-1.695106291233212
7,1.0,0.0,0.4,2,-0.5849436647231514,-0.909277201025966
7,1.0,0.0,0.4,3,-0.19233997105706688,-0.28881994839588176
7,1.0,0.0,0.4,4,0.1923399710570668,0.28881994839588165
7,1.0,0.0,0.4,5,0.5849436647231512,0.909277201025966
7,1.0,0.0,0.4,6,1.002210809038455,1.695106291233212
7,1.0,0.0,0.4,7,1.4633784126967018,2.952035023493978
